Sentence,IsBunin
известный солдат серьёзный обстоятельный одежда наблюдать опрятность сквернословит сравнительно водка пить казённый какой давать больший праздник свободный время медленно добросовестно тачать сапог пара месяц сапог,0
огромный тяжеловесный знать износ меркуловские сапог,0
лицо шершавый серый тон шинель оттенок грязный бледность придавать простой лицо воздух казарм тюрьма госпиталей,0
странный какой неуместный впечатление производить меркуловском лицо выпуклый глаз удивительно нежный чистый цвет добрый детский ясный казаться сияющими,0
губа меркулов простодушный толстый верхний прилизать редкий бурый пушок,0
казарма гомон,0
четыре длинный сквозной комната осветить коптить красноватый свет четыре жестяной ночник висеть каждый взвод стена ручка гвоздик,0
посередине комната тянуться два ряд сплошной нары покрыть сверху сенниками,0
стена выбелить извёстка снизу выкрасить коричневый масляный краска,0
вдоль стена стоять длинный деревянный стойка красивый стройный ряд ружьё висеть рамка олеография гравюра изображать грубый наглядный вид солдатский наука,0
меркулов медленно ходить взвод взвод,0
скучный хотеться спать чувствовать зависть человек копошиться галдеть хохотать тяжёлый мгла казарма,0
впереди час сон бояться отнять минута,0
томительный неприятный сознание полчаса рота замолкнуть уснуть меркулов оставаться бодрствовать тоскующий забыть одинокий сто человек перенести нездешней таинственный сила неведомый мир,0
второй взвод тесно сбиться куча десять двенадцать солдатик,0
рассесться разлечься друг возле друга нарах разберешь голова спина принадлежать рука нога,0
два три место дело вспыхивать красный огонёк цигарок,0
середина сидеть поджать нога старый солдат замошников дядька замошников называть рота,0
замошников маленький худой подвижной солдатик общий любимец запевала добровольный увеселитель,0
Мерно покачиваться взад вперёд потирая колено ладонь рассказывать сказка держаться время пониженный медленный недоумевающего тон,0
слушать сосредоточенном молчание,0
изредка присутствовать захватить интерес рассказ вставить вытерпеть торопливый восхищённый ругательный восклицание,0
меркулов останавливаться подле кучка равнодушно прислушиваться посылать этта турецкий салтан большущий бочка мак писать письмо приасхадительство славный храбрый генерал скобелев,0
даю три день три ночь строку пересчитать мак единый зерно,0
зерен насчитаешь столько войске солдатов,0
прочитать генерал скобелев салтаново письмо испужался посылать обратно турецкий салтану горсточка стручковый перец,0
говорить солдатов против твой навсего малый горстка кася попробуй раскуси ловко повернуть одобрять голос спина замошникова,0
слушатель сдержанно смеяться,0
,0
говорить раскуси попробуй повторять замошников жалея расстаться выигрышный место,0
салтан бочка мак горсть перцу кась говорить выкуси,0
скобелев салтану турецкому,0
говорить солдатов горсточка попробуй раскусить сказка дядька замошников,0
робко спрашивать нетерпеливый слушатель,0
,0
погодить братец досадливо замечать замошников,0
подталдыкивай,0
сказка сказывать брат блох ловить,0
помолчать успокоившись продолжать сказка,0
малый говорить горсточка раскуси,0
прочитать турецкий салтан скобелевское письмо писать убрать подобру поздорову храбрый войско турецкий земля,0
храбрый войско убрать захотеть дать солдат чарка водка солдат рассердятся выгнать три день твой армия турция,0
скобелев ответ великий славный турецкий салтан сметь турецкий морда слово писать,0
найти тращать чарка водка дама,0
солдатушкам три день лопать дать распротакого сын войском живьем сожрать вернуть весть пропадешь собачий образина свиной твое ухо,0
услышать слово турецкий салтан сильно братец пора испужался податься замирение,0
говорить бог войском,0
мельонт рублен деньга отвяжись замошников молчать минута добавлять коротко сказка ребята,0
слушатель оживляются кучка начинать шевелиться,0
сторона раздаваться одобрительный ругань,0
важный яво братец,0
садануть сказать хороший,0
грит солдат три дни дать ени мерзавец живьём слопают,0
сказать дядька замошников,0
дядька замошников,0
замошников повторять самую фраза слово слово против подхватывать хвастливый голос,0
против руцких против брат погодить надоть,0
погодить,0
дело благословимшись каши поемши,0
замошников время тянуться огонёк цигарка вспыхивающему погасающему подле говорить небрежно дай кась братец потянуть разочек,0
чтой смерть покурить хоцца,0
раз подряд торопливо глубоко затягиваться пускать дым нос два прямой сильный струя,0
лицо подбородок губа попеременно озаряются красный блеск мгновенно тухнут пропадать темнота,0
чья рука протягиваться рот цигарка голос просить дядька замошников оставить покурить немножко покурить поплюить отрезать замошников,0
солдат смеяться замошников,0
ввернет,0
поощренный замошников продолжать шутить знать брат нонче курить,0
табачок бумажка дашь покурить,0
совать протянутую рука окурок сплёвывать сторона перегнуться чей спина говорить ребята знать история,0
Може слышать,0
солдат прицепить железный коготь лазить царевна башня,0
знать хороший сказывать,0
знать,0
,0
валять дядька замошников,0
слыхал,0
начинаться жить свет солдат яшка медный пряжка,0
братец солдат удивительный человек свет,0
меркулов вянуть отходить прочь,0
время живой удовольствие слушать сказка замошникова странный слушать интерес вещь незанимательный скучный главный заведомо вымышленный,0
чёрт сон манить злобно думать меркулов,0
целый ночь дрыхнуть подходить окно,0
стекло изнутри запотели дело быстро извилисто сбегать капля,0
меркулов протирать рукав шинель стекло прижиматься лоб загораживать глаз оба сторона ладонь мешать отражение ночник,0
двор осенний дождливый чёрный ночь,0
свет падать окно лежать земля косым вытянуть четырёхугольник светлый полоса морщиться рябиться дождь больший лужа,0
впереди край свет блестеть огонь местечка,0
различать глаз темнота ненастный ночь,0
постоять окно меркулов идти четвёртый взвод обходить медленно брести сторона казарма вдоль окно,0
конец нар бок угол уселись спустить нога двое солдат панчук коваль,0
стоить маленький деревянный сундучок замок кольцах,0
сундук лежать цельный хлеб накроить толстый ломоть длина пяток луковица кусок свиной сала крупный серый соль чистый тряпка,0
панчук коваль связать странный молчаливый дружба основать необычайный обжорство,0
хватать казённый хлеб три фунт человек прикупать день товарищ поедать вместе обыкновенно вечер обмениваться ни единый слово,0
зажиточный семейство ежемесячно получать дом рубль два,0
поочередно узкий ножик источенным остриё вогнулось внутрь отрезать тонкий папиросный бумага кусочек сала аккуратно распластывать два ломоть хлеб круто посоленными оба сторона,0
начинать молча медленно поедать огромный бутерброд лениво болтая спущенными нога,0
меркулов останавливаться против тупо смотреть,0
вид сала вызывать язык острый слюна просить решаться равный ответить отказ хлёсткий насмешка,0
произносить срывающимся голос слышаться просьба хлеб соль ребята,0
постой отвечать совершенно серьезно коваль глядеть меркулов обчищать нож коричневый шелуха луковица режет четыре часть обмакивать четверть соль жевать сочный хрустением,0
панчук говорить смотреть прямо лицо меркулову тупой сонный неподвижный глаз,0
громко чавкать массивный скулах обтягивать кожа напрягаются ходить связка челюстной мускул,0
минута трое молчать,0
панчук труд проглатывать большой кусок сдавленный голос равнодушно спрашивать брат дневалить,0
отлично знать меркулов дневалить предложить вопрос ни ни интерес спроситься,0
меркулов равнодушно испускать ответ длинный ругательство неизвестный адресованное два солдат иметь возможность объедаться хлеб сало начальство заставить меркулов очередь дневалить,0
отходить приятель продолжать молчаливый медленный еда брести,0
сырой казарма быстро нагреваться человеческий дыхание меркулов становиться жарко шинель,0
раз кряду обходить взвод скука прислушиваться разговор громкий смех руготне пение смолкать роте,0
смешит занимать душа сильно хотеться ночь затихал шум меркулов оставаться мутный тишина спать казарма,0
конец первый взвод стоить отдельный нара унтер офицер евдоким иванович ноги близкий начальник меркулов,0
евдоким иванович большой франт бабник говорун человек зажиточный,0
нара поверх сенник покрыть толстый ватный одеяло сшить множество разноцветный квадратик треугольник голова деревянный спинка прилепить хлеб маленький круглый треснуть посредине зеркальце жестяной оправа,0
евдоким иванович мундир босой лежать великолепный одеяло спина заложить голова рука задрать кверху нога упираться пятка стена перекинуть,0
угол рот торчать камышовый мундштук вставить дымиться кручонкой,0
унтер офицер понурой печальный покорный поза большой обезьяна стоить рядовой взвод шангирей камафутдинов бледный грязный глуповатый татарин выучить три год служба ни русский слово посмешище рота ужас позор инспекторский смотр,0
нога спится пользоваться минута ренегат камафутдиновым словесность,0
татарин умственный напряжение виски конец нос покрыться мелкий капля пот,0
время время вытаскивать карман грязный ветошка сильно тереть заразить трахома воспаленные распухнуть гноящиеся глаз,0
идиот турецкий,0
морда,0
спрашивать,0
,0
спрашивать идол,0
кипятится нога,0
камафутдинов молчать эфиоп неумытый,0
твой ружьё называться,0
говорить твой ружьё называться скотина казанский,0
камафутдинов трет больной глаз переминается нога нога продолжать молчать,0
,0
возможность,0
повторяй,0
нога произносить громко отчеканивать слог ма ло бер ско ро стрель малякарли карасти испуганно торопливо повторять камафутдинов,0
дура,0
спешить,0
раз малокалиберный скорострельный малякяли скарлястиль,0
образина татарский нога делать злобно искажённый физиономия,0
чёрт,0
повторяй пехотный винтовка пихоть бинтофк скользить затвор заскальзяситвором система бердана номер второй сеем бирдан номер тара,0
,0
катать,0
татарин вянуть мнется лезть карман тряпка,0
,0
чёрт кали,0
калибри,0
заскальзи,0
камафутдинов наугад подбирать первый попадаться звук,0
заскальзи перебивать унтер офицер,0
заскальзи,0
вставать хотеться выутюжить морда,0
фасон взвод нарушать,0
думать зиськуется,0
Строго брат зиськуется,0
повторяй малокалиберный скорострельный,0
конец первый взвод близ железный печка разлечься нарах голова друг другу трое старый солдат петь вполголоса больший чувство видимый удовольствие вольный деревенский песня,0
первый голос высокий нежный фальцет выводить грустный мелодия небрежно выговаривать слово вставлять певучесть лишний гласный,0
певец старательно бережно вторить терция сиплый приятный сочный тенорок нос,0
третий петь октава первый глухой невыразительный голос иных место нарочно молчать пропускать два такт подхватывать догонять товарищ своеобразный фуга,0
прощать радость покой слышать уезжать милый,0
намы долыжно або согласно красиво вытягивать первый голос третий отстать слово присоединяться решительный крепкий подхват расстаться,0
